Country,Region,Farm,Organic,Varietal,Grade,Density,Elevation,Processing,Acidity,Body,Roasting Time,1st Crack,2nd Crack,like-100,Spoons
Ethiopia,Sidamo,,yes,Heirloom,2,0.78,1850,"pulp natural""|""sun dried",medium,heavy|medium,240,90,230,0.7,4
Ethiopia,Sidamo,,yes,Heirloom,2,0.78,1850,"pulp natural""|""sun dried",medium,heavy|medium,230,90,230,0.7,4
Colombia,Popayan,San Rafael,no,Caturra|Typica,,0.86,1500,"full washed""|""sun dried",medium,medium|full,240,130,,,4
Colombia,Popayan,San Rafael,no,Caturra|Typica,,0.86,1500,"full washed""|""sun dried",medium,medium|full,240,130,,0.78,4
Colombia,Popayan,San Rafael,no,Caturra|Typica,,0.86,1500,"full washed""|""sun dried",medium,medium|full,240,110,235,0.6,3
Ethiopia,Sidamo,,yes,Heirloom,2,0.78,1850,"pulp natural""|""sun dried",medium,heavy|medium,210,94,,0.7,4
Ethiopia,Sidamo,,yes,Heirloom,2,0.78,1850,"pulp natural""|""sun dried",medium,heavy|medium,225,92,,0.6,4
India,Mysore,Arabidecool,no,Bourbon,1,0.708,1250,"washed""|""sun dried",low|medium,medium|full,240,130,,,4
Uganda,Rwenzori,Endale,no,Bourbon,,0.68,1600,natural,restrained,medium,240,135,,0.71,4
India,Mysore,Arabidecool,no,Bourbon,1,0.708,1250,"washed""|""sun dried",low|medium,medium|full,240,150,,0.65,4
